doi,title,year,venue,type,language,first_author,cited_by,is_oa,url,source_db,search_field,openalex_id,query
10.1109/t-affc.2011.15,DEAP: A Database for Emotion Analysis ;Using Physiological Signals,2011,IEEE Transactions on Affective Computing,article,en,Sander Koelstra,5053,True,https://archive-ouverte.unige.ch/unige:47405,OpenAlex,title_and_abstract.search,https://openalex.org/W2002055708,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1109/taffc.2017.2712143,Identifying Stable Patterns over Time for Emotion Recognition from EEG,2017,IEEE Transactions on Affective Computing,article,en,Wei‐Long Zheng,982,False,https://doi.org/10.1109/taffc.2017.2712143,OpenAlex,title_and_abstract.search,https://openalex.org/W2962905870,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.14569/ijacsa.2017.081046,Emotion Recognition based on EEG using LSTM Recurrent Neural Network,2017,International Journal of Advanced Computer Science and Applications,article,en,Salma Alhagry,654,True,https://doi.org/10.14569/ijacsa.2017.081046,OpenAlex,title_and_abstract.search,https://openalex.org/W2765856398,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1109/taffc.2020.3025777,EEG-Based Emotion Recognition via Channel-Wise Attention and Self Attention,2020,IEEE Transactions on Affective Computing,article,en,Wei Tao,580,False,https://doi.org/10.1109/taffc.2020.3025777,OpenAlex,title_and_abstract.search,https://openalex.org/W3088256290,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1016/j.asoc.2020.106954,EEG emotion recognition using fusion model of graph convolutional neural networks and LSTM,2020,Applied Soft Computing,article,en,Yongqiang Yin,472,False,https://doi.org/10.1016/j.asoc.2020.106954,OpenAlex,title_and_abstract.search,https://openalex.org/W3108087271,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.3389/fnins.2018.00162,Exploring EEG Features in Cross-Subject Emotion Recognition,2018,Frontiers in Neuroscience,article,en,Xiang Li,372,True,https://doi.org/10.3389/fnins.2018.00162,OpenAlex,title_and_abstract.search,https://openalex.org/W2790814155,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1609/aaai.v31i2.19105,Using Deep and Convolutional Neural Networks for Accurate Emotion Classification on DEAP Data,2017,Proceedings of the AAAI Conference on Artificial Intelligence,conference-paper,en,Samarth Tripathi,231,True,https://doi.org/10.1609/aaai.v31i2.19105,OpenAlex,title_and_abstract.search,https://openalex.org/W4292333043,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.3390/s21103414,Predicting Exact Valence and Arousal Values from EEG,2021,Sensors,article,en,Filipe Galvão,95,True,https://doi.org/10.3390/s21103414,OpenAlex,title_and_abstract.search,https://openalex.org/W3160343815,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1007/s11042-015-3119-y,Affect representation and recognition in 3D continuous valence–arousal–dominance space,2016,Multimedia Tools and Applications,article,en,Gyanendra K. Verma,126,False,https://doi.org/10.1007/s11042-015-3119-y,OpenAlex,title_and_abstract.search,https://openalex.org/W2222099799,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1109/taffc.2022.3169001,TSception: Capturing Temporal Dynamics and Spatial Asymmetry From EEG for Emotion Recognition,2022,IEEE Transactions on Affective Computing,article,en,Yi Ding,414,True,https://doi.org/10.1109/taffc.2022.3169001,OpenAlex,title_and_abstract.search,https://openalex.org/W3140416091,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1109/taffc.2020.3013711,An Efficient LSTM Network for Emotion Recognition From Multichannel EEG Signals,2020,IEEE Transactions on Affective Computing,article,en,Xiaobing Du,353,False,https://doi.org/10.1109/taffc.2020.3013711,OpenAlex,title_and_abstract.search,https://openalex.org/W3047405387,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
10.1109/jbhi.2020.2995767,Emotion Recognition From Multi-Channel EEG via Deep Forest,2020,IEEE Journal of Biomedical and Health Informatics,article,en,Juan Cheng,249,False,https://doi.org/10.1109/jbhi.2020.2995767,OpenAlex,title_and_abstract.search,https://openalex.org/W3027581678,(eeg OR electroencephalography) AND (emotion OR valence OR arousal OR affective) AND deap
