pid,doi,year,title,coder_name,date_coded,version_coded,E1,E2,E_note,X1,H1,H2,H3,H4,S1,S2,S3,S4,U1,S5,N1,T1,M1,R1,R2,R3,R4,C1,Q_split,Q_norm,Q_claim,note,minutes
Alhagry2017,10.14569/ijacsa.2017.081046,2017,Emotion Recognition Based on EEG Using LSTM Recurrent Neural Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimtay2020,10.3390/s20072034,2020,Investigating the Use of Pretrained Convolutional Neural Network on Cross-Subject and Cross-Dataset EEG Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cui2020,10.1016/j.knosys.2020.106243,2020,EEG-Based Emotion Recognition Using an End-to-End Regional-Asymmetric Convolutional Neural Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ding2022,10.1109/taffc.2022.3169001,2023,TSception: Capturing Temporal Dynamics and Spatial Asymmetry From EEG for Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du2022,10.1109/taffc.2020.3013711,2022,An Efficient LSTM Network for Emotion Recognition From Multichannel EEG Signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jia2020,10.1145/3394171.3413724,2020,SST-EmotionNet: Spatial-Spectral-Temporal Based Attention 3D Dense Network for EEG Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiang2024_labram,10.48550/arXiv.2405.18765,2024,Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katsigiannis2018,10.1109/jbhi.2017.2688239,2018,DREAMER: A Database for Emotion Recognition Through EEG and ECG Signals From Wireless Low-Cost Off-the-Shelf Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koelstra2012,10.1109/t-affc.2011.15,2012,DEAP: A Database for Emotion Analysis Using Physiological Signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kukhilava2025,10.48550/arXiv.2505.18175,2025,Evaluation in EEG Emotion Recognition: State-of-the-Art Review and Unified Framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lan2018,10.1109/tcds.2018.2826840,2019,Domain Adaptation Techniques for EEG-Based Emotion Recognition: A Comparative Study on Two Public Datasets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li2018bidann,10.1109/TAFFC.2018.2885474,2021,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li2018hcnn,10.1007/s12559-017-9533-x,2018,Hierarchical Convolutional Neural Networks for EEG-Based Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li2020_multisource,10.1109/tcyb.2019.2904052,2020,Multisource Transfer Learning for Cross-Subject EEG Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li2020r2g,10.1109/taffc.2019.2922912,2022,From Regional to Global Brain: A Novel Hierarchical Spatial-Temporal Neural Network Model for EEG Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liu2021_3dcnn,10.1109/tcbb.2020.3018137,2021,Subject-Independent Emotion Recognition of EEG Signals Based on Dynamic Empirical Convolutional Neural Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandey2022,10.1016/j.jksuci.2019.11.003,2022,Subject Independent Emotion Recognition from EEG Using VMD and Deep Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayatdoost2018,10.1109/mlsp.2018.8517037,2018,Cross-Corpus EEG-Based Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song2018,10.1109/taffc.2018.2817622,2020,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song2021iag,10.1609/aaai.v34i03.5656,2020,Instance-Adaptive Graph for EEG Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tang2023,10.1016/j.bspc.2023.104999,2023,STILN: A Novel Spatial-Temporal Information Learning Network for EEG-Based Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tao2020,10.1109/taffc.2020.3025777,2023,EEG-Based Emotion Recognition via Channel-Wise Attention and Self Attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic2021,10.1016/j.jestch.2021.03.012,2021,Emotion Recognition Based on EEG Feature Maps Through Deep Learning Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripathi2017,10.1609/aaai.v31i2.19105,2017,Using Deep and Convolutional Neural Networks for Accurate Emotion Classification on DEAP Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuncer2021,10.1016/j.chaos.2021.110671,2021,A New Fractal Pattern Feature Generation Function Based Emotion Recognition Method Using EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang2018plv,10.1109/access.2019.2927768,2019,Phase-Locking Value Based Graph Convolutional Neural Networks for Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang2024_ssl,10.48550/arXiv.2403.04041,2024,Cascaded Self-Supervised Learning for Subject-Independent EEG-based Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang2023_biot,10.52202/075280-3420,2023,BIOT: Biosignal Transformer for Cross-Data Learning in the Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YangCNNRNN2018,10.1109/ijcnn.2018.8489331,2018,Emotion Recognition from Multi-Channel EEG through Parallel Convolutional Recurrent Neural Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang2020gcb,10.1109/taffc.2019.2937768,2022,GCB-Net: Graph Convolutional Broad Network and Its Application in Emotion Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang2025_mdjpt,10.52202/085713-5515,2025,Multi-dataset Joint Pre-training of Emotional EEG Enables Generalizable Affective Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zheng2015,10.1109/tamd.2015.2431497,2015,Investigating Critical Frequency Bands and Channels for EEG-Based Emotion Recognition with Deep Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhong2020,10.1109/taffc.2020.2994159,2022,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
