pid,year,doi,title,venue,type,peer_review_status,cited_by,oa_status,full_text_url,doi_url
Alhagry2017,2017,10.14569/ijacsa.2017.081046,Emotion Recognition Based on EEG Using LSTM Recurrent Neural Network,International Journal of Advanced Computer Science and Applications,article,peer reviewed,654,hybrid,http://thesai.org/Downloads/Volume8No10/Paper_46-Emotion_Recognition_based_on_EEG_using_LSTM.pdf,https://doi.org/10.14569/ijacsa.2017.081046
Cimtay2020,2020,10.3390/s20072034,Investigating the Use of Pretrained Convolutional Neural Network on Cross-Subject and Cross-Dataset EEG Emotion Recognition,Sensors,article,peer reviewed,259,gold,https://www.mdpi.com/1424-8220/20/7/2034/pdf?version=1586010438,https://doi.org/10.3390/s20072034
Cui2020,2020,10.1016/j.knosys.2020.106243,EEG-Based Emotion Recognition Using an End-to-End Regional-Asymmetric Convolutional Neural Network,Knowledge-Based Systems,article,peer reviewed,288,closed,,https://doi.org/10.1016/j.knosys.2020.106243
Ding2022,2023,10.1109/taffc.2022.3169001,TSception: Capturing Temporal Dynamics and Spatial Asymmetry From EEG for Emotion Recognition,IEEE Transactions on Affective Computing,article,peer reviewed,414,hybrid,https://ieeexplore.ieee.org/ielx7/5165369/5520654/09762054.pdf,https://doi.org/10.1109/taffc.2022.3169001
Du2022,2022,10.1109/taffc.2020.3013711,An Efficient LSTM Network for Emotion Recognition From Multichannel EEG Signals,IEEE Transactions on Affective Computing,article,peer reviewed,353,closed,,https://doi.org/10.1109/taffc.2020.3013711
Jia2020,2020,10.1145/3394171.3413724,SST-EmotionNet: Spatial-Spectral-Temporal Based Attention 3D Dense Network for EEG Emotion Recognition,,conference-paper,peer reviewed,163,closed,,https://doi.org/10.1145/3394171.3413724
Jiang2024_labram,2024,10.48550/arXiv.2405.18765,Large Brain Model for Learning Generic Representations with Tremendous EEG Data in BCI,arXiv (Cornell University),preprint,ICLR 2024 (peer-reviewed conference paper; no publisher DOI),19,green,https://arxiv.org/pdf/2405.18765,https://doi.org/10.48550/arXiv.2405.18765
Katsigiannis2018,2018,10.1109/jbhi.2017.2688239,DREAMER: A Database for Emotion Recognition Through EEG and ECG Signals From Wireless Low-Cost Off-the-Shelf Devices,IEEE Journal of Biomedical and Health Informatics,article,peer reviewed,1113,green,https://research-portal.uws.ac.uk/en/publications/8d7c9368-487e-400a-b6db-78fb05677551,https://doi.org/10.1109/jbhi.2017.2688239
Koelstra2012,2012,10.1109/t-affc.2011.15,DEAP: A Database for Emotion Analysis Using Physiological Signals,IEEE Transactions on Affective Computing,article,peer reviewed,5053,green,https://archive-ouverte.unige.ch/unige:47405,https://doi.org/10.1109/t-affc.2011.15
Kukhilava2025,2025,10.48550/arXiv.2505.18175,Evaluation in EEG Emotion Recognition: State-of-the-Art Review and Unified Framework,arXiv (Cornell University),preprint,PREPRINT - not peer reviewed,1,green,https://arxiv.org/pdf/2505.18175,https://doi.org/10.48550/arXiv.2505.18175
Lan2018,2019,10.1109/tcds.2018.2826840,Domain Adaptation Techniques for EEG-Based Emotion Recognition: A Comparative Study on Two Public Datasets,IEEE Transactions on Cognitive and Developmental Systems,article,peer reviewed,364,closed,,https://doi.org/10.1109/tcds.2018.2826840
Li2018bidann,2021,10.1109/TAFFC.2018.2885474,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,IEEE Transactions on Affective Computing,article,peer reviewed,393,closed,,https://doi.org/10.1109/TAFFC.2018.2885474
Li2018hcnn,2018,10.1007/s12559-017-9533-x,Hierarchical Convolutional Neural Networks for EEG-Based Emotion Recognition,Cognitive Computation,article,peer reviewed,346,closed,,https://doi.org/10.1007/s12559-017-9533-x
Li2020_multisource,2020,10.1109/tcyb.2019.2904052,Multisource Transfer Learning for Cross-Subject EEG Emotion Recognition,IEEE Transactions on Cybernetics,article,peer reviewed,358,closed,,https://doi.org/10.1109/tcyb.2019.2904052
Li2020r2g,2022,10.1109/taffc.2019.2922912,From Regional to Global Brain: A Novel Hierarchical Spatial-Temporal Neural Network Model for EEG Emotion Recognition,IEEE Transactions on Affective Computing,article,peer reviewed,319,closed,,https://doi.org/10.1109/taffc.2019.2922912
Liu2021_3dcnn,2021,10.1109/tcbb.2020.3018137,Subject-Independent Emotion Recognition of EEG Signals Based on Dynamic Empirical Convolutional Neural Network,IEEE Transactions on Computational Biology and Bioinformatics,article,peer reviewed,117,closed,,https://doi.org/10.1109/tcbb.2020.3018137
Pandey2022,2022,10.1016/j.jksuci.2019.11.003,Subject Independent Emotion Recognition from EEG Using VMD and Deep Learning,Journal of King Saud University - Computer and Information Sciences,article,peer reviewed,212,hybrid,https://doi.org/10.1016/j.jksuci.2019.11.003,https://doi.org/10.1016/j.jksuci.2019.11.003
Rayatdoost2018,2018,10.1109/mlsp.2018.8517037,Cross-Corpus EEG-Based Emotion Recognition,,conference-paper,peer reviewed,51,closed,,https://doi.org/10.1109/mlsp.2018.8517037
Song2018,2020,10.1109/taffc.2018.2817622,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,IEEE Transactions on Affective Computing,article,peer reviewed,1583,closed,,https://doi.org/10.1109/taffc.2018.2817622
Song2021iag,2020,10.1609/aaai.v34i03.5656,Instance-Adaptive Graph for EEG Emotion Recognition,Proceedings of the AAAI Conference on Artificial Intelligence,conference-paper,peer reviewed,102,diamond,https://doi.org/10.1609/aaai.v34i03.5656,https://doi.org/10.1609/aaai.v34i03.5656
Tang2023,2023,10.1016/j.bspc.2023.104999,STILN: A Novel Spatial-Temporal Information Learning Network for EEG-Based Emotion Recognition,Biomedical Signal Processing and Control,article,peer reviewed,48,closed,,https://doi.org/10.1016/j.bspc.2023.104999
Tao2020,2023,10.1109/taffc.2020.3025777,EEG-Based Emotion Recognition via Channel-Wise Attention and Self Attention,IEEE Transactions on Affective Computing,article,peer reviewed,580,closed,,https://doi.org/10.1109/taffc.2020.3025777
Topic2021,2021,10.1016/j.jestch.2021.03.012,Emotion Recognition Based on EEG Feature Maps Through Deep Learning Network,Engineering Science and Technology an International Journal,article,peer reviewed,233,gold,https://www.sciencedirect.com/science/article/pii/S2215098621000768/pdf,https://doi.org/10.1016/j.jestch.2021.03.012
Tripathi2017,2017,10.1609/aaai.v31i2.19105,Using Deep and Convolutional Neural Networks for Accurate Emotion Classification on DEAP Data,Proceedings of the AAAI Conference on Artificial Intelligence,conference-paper,peer reviewed,231,diamond,https://doi.org/10.1609/aaai.v31i2.19105,https://doi.org/10.1609/aaai.v31i2.19105
Tuncer2021,2021,10.1016/j.chaos.2021.110671,A New Fractal Pattern Feature Generation Function Based Emotion Recognition Method Using EEG,Chaos Solitons & Fractals,article,peer reviewed,126,closed,,https://doi.org/10.1016/j.chaos.2021.110671
Wang2018plv,2019,10.1109/access.2019.2927768,Phase-Locking Value Based Graph Convolutional Neural Networks for Emotion Recognition,IEEE Access,article,peer reviewed,216,gold,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08758787.pdf,https://doi.org/10.1109/access.2019.2927768
Wang2024_ssl,2024,10.48550/arXiv.2403.04041,Cascaded Self-Supervised Learning for Subject-Independent EEG-based Emotion Recognition,arXiv (Cornell University),preprint,PREPRINT - not peer reviewed,1,green,https://arxiv.org/pdf/2403.04041,https://doi.org/10.48550/arXiv.2403.04041
Yang2023_biot,2023,10.52202/075280-3420,BIOT: Biosignal Transformer for Cross-Data Learning in the Wild,,conference-paper,peer reviewed,39,closed,,https://doi.org/10.52202/075280-3420
YangCNNRNN2018,2018,10.1109/ijcnn.2018.8489331,Emotion Recognition from Multi-Channel EEG through Parallel Convolutional Recurrent Neural Network,,conference-paper,peer reviewed,328,green,https://eprints.gla.ac.uk/333827/,https://doi.org/10.1109/ijcnn.2018.8489331
Zhang2020gcb,2022,10.1109/taffc.2019.2937768,GCB-Net: Graph Convolutional Broad Network and Its Application in Emotion Recognition,IEEE Transactions on Affective Computing,article,peer reviewed,400,closed,,https://doi.org/10.1109/taffc.2019.2937768
Zhang2025_mdjpt,2025,10.52202/085713-5515,Multi-dataset Joint Pre-training of Emotional EEG Enables Generalizable Affective Computing,,conference-paper,peer reviewed,1,closed,,https://doi.org/10.52202/085713-5515
Zheng2015,2015,10.1109/tamd.2015.2431497,Investigating Critical Frequency Bands and Channels for EEG-Based Emotion Recognition with Deep Neural Networks,IEEE Transactions on Autonomous Mental Development,article,peer reviewed,2593,closed,,https://doi.org/10.1109/tamd.2015.2431497
Zhong2020,2022,10.1109/taffc.2020.2994159,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,IEEE Transactions on Affective Computing,article,peer reviewed,892,green,https://dr.ntu.edu.sg/bitstream/10356/152723/2/EEG-Based_Emotion_Recognition_Using_Regularized_Graph_Neural_Networks.pdf,https://doi.org/10.1109/taffc.2020.2994159
