scheme,dataset,target,P1_window,P2_window,P3_window,P4_window,P1_trial_range_5_partitions,P2_trial_range_5_partitions,P3_trial_range_5_partitions
global,DEAP,valence,"0.697 [0.675, 0.715]","0.614 [0.583, 0.639]","0.547 [0.519, 0.576]","0.549 [0.515, 0.584]",0.768--0.772,0.636--0.657,0.558--0.567
global,DEAP,arousal,"0.713 [0.677, 0.739]","0.653 [0.609, 0.685]","0.469 [0.420, 0.517]","0.469 [0.420, 0.520]",0.754--0.757,0.657--0.682,0.454--0.507
global,DREAMER,valence,"0.791 [0.748, 0.828]","0.504 [0.438, 0.566]","0.521 [0.472, 0.570]","0.519 [0.465, 0.573]",0.851--0.853,0.501--0.538,0.484--0.542
global,DREAMER,arousal,"0.838 [0.789, 0.879]","0.583 [0.519, 0.643]","0.465 [0.417, 0.512]","0.477 [0.426, 0.533]",0.906--0.912,0.597--0.613,0.455--0.486
global,FACED,valence,"0.662 [0.641, 0.683]","0.597 [0.574, 0.620]","0.543 [0.526, 0.562]","0.541 [0.524, 0.558]",0.714--0.715,0.620--0.629,0.540--0.564
global,FACED,arousal,"0.670 [0.645, 0.693]","0.606 [0.580, 0.632]","0.500 [0.472, 0.524]","0.506 [0.483, 0.530]",0.718--0.719,0.634--0.644,0.497--0.527
participant,DEAP,valence,"0.666 [0.644, 0.687]","0.558 [0.526, 0.588]","0.534 [0.519, 0.551]","0.545 [0.527, 0.564]",0.771--0.774,0.589--0.596,0.546--0.564
participant,DEAP,arousal,"0.632 [0.610, 0.652]","0.517 [0.491, 0.543]","0.503 [0.485, 0.520]","0.499 [0.479, 0.516]",0.725--0.730,0.494--0.530,0.495--0.511
participant,DREAMER,valence,"0.782 [0.739, 0.821]","0.491 [0.450, 0.528]","0.514 [0.475, 0.552]","0.501 [0.464, 0.539]",0.861--0.865,0.436--0.495,0.486--0.517
participant,DREAMER,arousal,"0.811 [0.760, 0.855]","0.575 [0.524, 0.625]","0.478 [0.432, 0.522]","0.506 [0.455, 0.560]",0.889--0.898,0.542--0.592,0.470--0.545
participant,FACED,valence,"0.623 [0.609, 0.638]","0.531 [0.518, 0.546]","0.536 [0.525, 0.546]","0.544 [0.533, 0.554]",0.680--0.686,0.544--0.557,0.549--0.561
participant,FACED,arousal,"0.599 [0.586, 0.614]","0.487 [0.473, 0.501]","0.496 [0.484, 0.507]","0.501 [0.488, 0.512]",0.655--0.659,0.469--0.494,0.494--0.508
