dataset,target,learner,k,P2_identity_removed,P2_random_removed_mean,P2_identity_decoding_after_identity_removal,P2_identity_decoding_after_random_removal,P3_identity_removed,P3_random_removed_mean,P3_identity_decoding_after_identity_removal,P3_identity_decoding_after_random_removal
DEAP,valence,XGBoost,0,"0.621 [0.587, 0.652]",--,0.97,--,"0.519 [0.481, 0.558]",--,0.99,--
DEAP,valence,XGBoost,4,"0.623 [0.591, 0.651]",0.623,0.95,0.96,"0.518 [0.479, 0.562]",0.518,0.99,0.99
DEAP,valence,XGBoost,8,"0.636 [0.605, 0.665]",0.626,0.94,0.96,"0.535 [0.496, 0.573]",0.522,0.98,0.99
DEAP,valence,XGBoost,16,"0.606 [0.567, 0.640]",0.626,0.88,0.94,"0.508 [0.460, 0.560]",0.514,0.98,0.98
DEAP,valence,XGBoost,24,"0.603 [0.563, 0.637]",0.620,0.76,0.93,"0.529 [0.485, 0.571]",0.523,0.97,0.98
DEAP,valence,Logistic,0,"0.586 [0.554, 0.617]",--,0.96,--,"0.527 [0.481, 0.575]",--,0.99,--
DEAP,valence,Logistic,4,"0.586 [0.556, 0.616]",0.585,0.94,0.96,"0.543 [0.498, 0.586]",0.532,0.99,0.99
DEAP,valence,Logistic,8,"0.596 [0.565, 0.628]",0.584,0.79,0.95,"0.530 [0.486, 0.579]",0.526,0.98,0.99
DEAP,valence,Logistic,16,"0.584 [0.541, 0.628]",0.577,0.39,0.92,"0.517 [0.472, 0.567]",0.531,0.98,0.99
DEAP,valence,Logistic,24,"0.595 [0.555, 0.635]",0.579,0.10,0.90,"0.526 [0.486, 0.569]",0.527,0.95,0.98
DEAP,arousal,XGBoost,0,"0.669 [0.623, 0.699]",--,0.97,--,"0.476 [0.416, 0.539]",--,0.99,--
DEAP,arousal,XGBoost,4,"0.670 [0.622, 0.705]",0.668,0.95,0.96,"0.505 [0.442, 0.565]",0.479,0.99,0.99
DEAP,arousal,XGBoost,8,"0.675 [0.630, 0.707]",0.670,0.94,0.96,"0.502 [0.444, 0.562]",0.479,0.98,0.99
DEAP,arousal,XGBoost,16,"0.657 [0.610, 0.692]",0.669,0.88,0.94,"0.503 [0.439, 0.564]",0.490,0.98,0.98
DEAP,arousal,XGBoost,24,"0.653 [0.605, 0.690]",0.667,0.76,0.93,"0.546 [0.488, 0.600]",0.508,0.97,0.98
DEAP,arousal,Logistic,0,"0.613 [0.558, 0.656]",--,0.96,--,"0.485 [0.419, 0.547]",--,0.99,--
DEAP,arousal,Logistic,4,"0.617 [0.562, 0.660]",0.610,0.94,0.96,"0.488 [0.421, 0.549]",0.481,0.99,0.99
DEAP,arousal,Logistic,8,"0.623 [0.572, 0.665]",0.609,0.79,0.95,"0.489 [0.428, 0.549]",0.484,0.98,0.99
DEAP,arousal,Logistic,16,"0.608 [0.566, 0.643]",0.602,0.39,0.92,"0.493 [0.430, 0.553]",0.487,0.98,0.99
DEAP,arousal,Logistic,24,"0.583 [0.537, 0.625]",0.591,0.10,0.90,"0.514 [0.453, 0.566]",0.491,0.95,0.98
DREAMER,valence,XGBoost,0,"0.500 [0.426, 0.567]",--,0.75,--,"0.510 [0.446, 0.572]",--,0.91,--
DREAMER,valence,XGBoost,4,"0.487 [0.407, 0.556]",0.506,0.72,0.74,"0.498 [0.431, 0.557]",0.518,0.89,0.90
DREAMER,valence,XGBoost,8,"0.491 [0.413, 0.556]",0.506,0.68,0.73,"0.497 [0.432, 0.565]",0.517,0.89,0.90
DREAMER,valence,XGBoost,16,"0.471 [0.387, 0.540]",0.506,0.60,0.72,"0.470 [0.408, 0.530]",0.523,0.87,0.89
DREAMER,valence,Logistic,0,"0.495 [0.420, 0.561]",--,0.73,--,"0.490 [0.420, 0.556]",--,0.90,--
DREAMER,valence,Logistic,4,"0.467 [0.385, 0.537]",0.496,0.65,0.72,"0.478 [0.400, 0.545]",0.493,0.86,0.89
DREAMER,valence,Logistic,8,"0.410 [0.344, 0.472]",0.488,0.46,0.71,"0.450 [0.365, 0.525]",0.504,0.87,0.89
DREAMER,valence,Logistic,16,"0.392 [0.315, 0.469]",0.502,0.17,0.70,"0.420 [0.345, 0.490]",0.491,0.86,0.89
DREAMER,arousal,XGBoost,0,"0.591 [0.507, 0.671]",--,0.75,--,"0.412 [0.347, 0.481]",--,0.91,--
DREAMER,arousal,XGBoost,4,"0.599 [0.521, 0.675]",0.584,0.72,0.74,"0.417 [0.357, 0.488]",0.402,0.89,0.90
DREAMER,arousal,XGBoost,8,"0.594 [0.513, 0.667]",0.573,0.68,0.73,"0.421 [0.362, 0.490]",0.411,0.89,0.90
DREAMER,arousal,XGBoost,16,"0.598 [0.526, 0.670]",0.565,0.60,0.72,"0.404 [0.347, 0.472]",0.398,0.87,0.89
DREAMER,arousal,Logistic,0,"0.567 [0.493, 0.638]",--,0.73,--,"0.391 [0.334, 0.455]",--,0.90,--
DREAMER,arousal,Logistic,4,"0.584 [0.505, 0.663]",0.558,0.65,0.72,"0.401 [0.349, 0.459]",0.386,0.86,0.89
DREAMER,arousal,Logistic,8,"0.572 [0.491, 0.654]",0.561,0.46,0.71,"0.426 [0.368, 0.492]",0.387,0.87,0.89
DREAMER,arousal,Logistic,16,"0.548 [0.489, 0.613]",0.557,0.17,0.70,"0.426 [0.358, 0.493]",0.406,0.86,0.89
