dataset,protocol,learner,kind,k,accuracy
DEAP,P2,logreg,identity,0,0.9633620689655172
DEAP,P2,logreg,identity,4,0.9407327586206896
DEAP,P2,logreg,identity,8,0.7860991379310345
DEAP,P2,logreg,identity,16,0.38537176724137934
DEAP,P2,logreg,identity,24,0.09738685344827586
DEAP,P2,logreg,random,4,0.9575700431034483
DEAP,P2,logreg,random,8,0.9523168103448276
DEAP,P2,logreg,random,16,0.923828125
DEAP,P2,logreg,random,24,0.8997171336206897
DEAP,P2,xgb,identity,0,0.966864224137931
DEAP,P2,xgb,identity,4,0.9519127155172413
DEAP,P2,xgb,identity,8,0.9376346982758621
DEAP,P2,xgb,identity,16,0.8759428879310345
DEAP,P2,xgb,identity,24,0.7638739224137931
DEAP,P2,xgb,random,4,0.9562904094827587
DEAP,P2,xgb,random,8,0.9554822198275862
DEAP,P2,xgb,random,16,0.9402613146551724
DEAP,P2,xgb,random,24,0.9291487068965517
DEAP,P3,logreg,identity,0,0.9894088669950738
DEAP,P3,logreg,identity,4,0.987807881773399
DEAP,P3,logreg,identity,8,0.9842364532019705
DEAP,P3,logreg,identity,16,0.977216748768473
DEAP,P3,logreg,identity,24,0.9548029556650246
DEAP,P3,logreg,random,4,0.9894704433497536
DEAP,P3,logreg,random,8,0.9884852216748767
DEAP,P3,logreg,random,16,0.9850985221674876
DEAP,P3,logreg,random,24,0.9818349753694582
DEAP,P3,xgb,identity,0,0.9868226600985223
DEAP,P3,xgb,identity,4,0.9869458128078816
DEAP,P3,xgb,identity,8,0.9847290640394087
DEAP,P3,xgb,identity,16,0.9793103448275863
DEAP,P3,xgb,identity,24,0.970935960591133
DEAP,P3,xgb,random,4,0.9857142857142857
DEAP,P3,xgb,random,8,0.9857758620689654
DEAP,P3,xgb,random,16,0.9825738916256157
DEAP,P3,xgb,random,24,0.9818965517241378
DREAMER,P2,logreg,identity,0,0.7274615704196095
DREAMER,P2,logreg,identity,4,0.6510178645616951
DREAMER,P2,logreg,identity,8,0.4565849605317823
DREAMER,P2,logreg,identity,16,0.16909015371832156
DREAMER,P2,logreg,random,4,0.7197756543415039
DREAMER,P2,logreg,random,8,0.7116742833402576
DREAMER,P2,logreg,random,16,0.7029497299542999
DREAMER,P2,xgb,identity,0,0.7461570419609472
DREAMER,P2,xgb,identity,4,0.7174906522642294
DREAMER,P2,xgb,identity,8,0.6792687993352722
DREAMER,P2,xgb,identity,16,0.6015787287079352
DREAMER,P2,xgb,random,4,0.735147486497715
DREAMER,P2,xgb,random,8,0.7282924802658912
DREAMER,P2,xgb,random,16,0.7181138346489406
DREAMER,P3,logreg,identity,0,0.9003831417624522
DREAMER,P3,logreg,identity,4,0.860919540229885
DREAMER,P3,logreg,identity,8,0.8659003831417624
DREAMER,P3,logreg,identity,16,0.8578544061302681
DREAMER,P3,logreg,random,4,0.8913793103448275
DREAMER,P3,logreg,random,8,0.8873563218390805
DREAMER,P3,logreg,random,16,0.8875478927203065
DREAMER,P3,xgb,identity,0,0.9088122605363985
DREAMER,P3,xgb,identity,4,0.8900383141762452
DREAMER,P3,xgb,identity,8,0.888888888888889
DREAMER,P3,xgb,identity,16,0.8666666666666666
DREAMER,P3,xgb,random,4,0.8994252873563219
DREAMER,P3,xgb,random,8,0.9047892720306513
DREAMER,P3,xgb,random,16,0.8875478927203067
