dataset,target,protocol,eeg,participant_prior,stimulus_prior,global_prior,eeg_minus_participant_prior
DEAP,valence,P1,"0.769 [0.746, 0.793]","0.594 [0.558, 0.616]","0.863 [0.828, 0.896]",0.538,"+0.175 [+0.146, +0.224]"
DEAP,valence,P2,"0.657 [0.622, 0.685]","0.534 [0.480, 0.572]","0.847 [0.811, 0.881]",0.516,"+0.123 [+0.079, +0.180]"
DEAP,valence,P3,"0.558 [0.519, 0.595]","0.544 [0.516, 0.568]","0.846 [0.807, 0.881]",0.544,"+0.014 [-0.016, +0.050]"
DEAP,valence,P4,"0.565 [0.517, 0.613]","0.525 [0.478, 0.557]","0.840 [0.802, 0.877]",0.525,"+0.040 [-0.014, +0.100]"
DEAP,arousal,P1,"0.754 [0.727, 0.778]","0.674 [0.623, 0.701]","0.711 [0.668, 0.758]",0.518,"+0.081 [+0.068, +0.118]"
DEAP,arousal,P2,"0.682 [0.637, 0.715]","0.647 [0.590, 0.681]","0.678 [0.634, 0.728]",0.500,"+0.036 [+0.021, +0.064]"
DEAP,arousal,P3,"0.462 [0.401, 0.525]","0.432 [0.378, 0.489]","0.679 [0.635, 0.725]",0.432,"+0.030 [-0.053, +0.113]"
DEAP,arousal,P4,"0.464 [0.401, 0.528]","0.547 [0.484, 0.601]","0.672 [0.628, 0.720]",0.547,"-0.084 [-0.170, +0.006]"
DREAMER,valence,P1,"0.852 [0.814, 0.888]","0.616 [0.554, 0.631]","0.885 [0.857, 0.913]",0.427,"+0.236 [+0.194, +0.319]"
DREAMER,valence,P2,"0.511 [0.431, 0.582]","0.507 [0.426, 0.554]","0.868 [0.836, 0.897]",0.418,"+0.004 [-0.064, +0.090]"
DREAMER,valence,P3,"0.531 [0.466, 0.594]","0.406 [0.364, 0.458]","0.869 [0.841, 0.898]",0.406,"+0.125 [+0.028, +0.219]"
DREAMER,valence,P4,"0.523 [0.451, 0.590]","0.342 [0.326, 0.376]","0.869 [0.837, 0.899]",0.342,"+0.181 [+0.090, +0.259]"
DREAMER,arousal,P1,"0.912 [0.872, 0.944]","0.667 [0.579, 0.701]","0.798 [0.758, 0.836]",0.460,"+0.245 [+0.203, +0.328]"
DREAMER,arousal,P2,"0.609 [0.521, 0.686]","0.617 [0.524, 0.665]","0.774 [0.734, 0.815]",0.466,"-0.008 [-0.082, +0.095]"
DREAMER,arousal,P3,"0.455 [0.398, 0.517]","0.405 [0.356, 0.468]","0.761 [0.718, 0.803]",0.405,"+0.050 [-0.038, +0.130]"
DREAMER,arousal,P4,"0.467 [0.401, 0.541]","0.305 [0.268, 0.367]","0.760 [0.720, 0.800]",0.305,"+0.163 [+0.075, +0.240]"
